run_id,mtime,env/w_damage_taken,env/shape_safespot_attack_reward,env/w_jad_damage,env/w_jad_kill,env/w_correct_jad_prayer,env/shape_jad_heal_penalty,env/w_correct_danger_prayer,env/w_player_death,train/ent_coef,env/jad_kill_rate,env/cave_complete_rate,env/reached_wave_63,env/wave_reached,env/episode_length,env/dmg_taken_avg,env/damage_blocked,env/correct_prayer,env/attack_when_ready_rate,env/food_eaten,env/food_wasted,env/avg_hp_on_food,env/pots_used,env/pots_wasted,env/avg_prayer_on_pot,env/prayer_switches,env/jad_damage_dealt,env/max_wave_ticks,env/n,agent_steps,uptime,SPS,early_jad_kill_rate,early_wave_reached,n_bins
04vr4co4,1776413231.3217964,-1.6658396431682463,3.720386946288994,4.917709210731948,1960.5790759785389,3.5728284431746133,-2.1175320694988256,0.075,-9.39238987858417,0.011008078692407728,0.0,,0.0,45.702152252197266,5202.265625,5414.40185546875,70426.765625,793.505126953125,0.8978438973426819,19.56185531616211,11.603093147277832,0.8037264943122864,30.75257682800293,24.37113380432129,0.8111461400985718,109.63401794433594,,255.54638671875,10042.0,3499098112,1855.0991988182068,1869630,0.0,34.40152004068132,5
6x5g05bg,1776415061.9885538,-1.9726262817088078,3.4868088633134424,4.082487214694329,1987.736989643028,2.97402660796397,-1.0432507144517342,0.08935517316169553,-11.9008046398909,0.022657599846401807,0.0,,0.0,53.33293914794922,6432.43798828125,4670.61865234375,89507.390625,985.5469360351562,0.9078987836837769,20.0,17.331491470336914,0.9034378528594971,32.0,31.988950729370117,0.9437170028686523,2505.906005859375,,249.3204345703125,10119.0,3499098112,1812.621500968933,1850744,0.0,33.022931794182576,5
u0wwg7lp,1776416886.0207036,-1.8078808482233688,3.400577583791513,4.8070565378814365,2222.7688603820243,3.0924685119924398,-1.3846365351805825,0.075,-9.890454237724907,0.013005668305146637,0.058394160121679306,,0.8613138794898987,62.48588943481445,8163.00927734375,8409.7294921875,183061.4375,1453.8321533203125,0.9605470299720764,19.197080612182617,3.350364923477173,0.6661320924758911,31.802919387817383,5.554744720458984,0.6048367619514465,217.0,,273.3649597167969,10134.0,3499098112,1801.8366515636444,1909830,0.0,38.06364846858475,5
wk5elrda,1776418737.1429245,-1.7182353001570432,3.5969211955011855,5.069510278911336,2389.9846430995694,3.073933179785535,-0.7496668528451345,0.075,-10.048626393741907,0.014679483581164412,0.017543859779834747,,0.6666666865348816,61.96757125854492,8053.61669921875,9142.8154296875,189572.4375,1483.8421630859375,0.959896445274353,20.0,1.824561357498169,0.5981569886207581,31.35087776184082,5.122807025909424,0.5948095917701721,444.2280578613281,,270.131591796875,10084.0,3499098112,1827.976652622223,1902497,0.0,38.36550460101889,5
blnfiok3,1776420575.455128,-1.81364007699736,3.663323758035936,5.664999505164081,2139.9584457304236,2.749026453961039,-1.6976195285594309,0.075,-10.535426172280168,0.016485915612671716,0.0,,0.4642857015132904,61.46183776855469,7960.99462890625,9315.0625,181810.25,1398.8839111328125,0.9732956290245056,19.883928298950195,0.9196428656578064,0.500933825969696,31.508928298950195,2.544642925262451,0.49111396074295044,741.5357055664062,,272.9910583496094,10062.0,3499098112,1817.6404814720154,1896748,0.0,34.63441666710577,5
h4ls5hin,1776422446.3497136,-1.6731651488045685,3.2633689820977025,3.278679194283804,2193.5717524137726,3.5614562523255646,-1.295110079838758,0.14947058617447756,-8.802428164432579,0.014771687622894946,0.0,,0.0714285746216774,59.88920974731445,7637.95947265625,8267.2138671875,173900.0,1370.8968505859375,0.9636451005935669,19.404762268066406,3.1190476417541504,0.6834980845451355,31.650793075561523,11.61111068725586,0.6453651785850525,247.38095092773438,,271.0873107910156,10001.0,3499098112,1830.4614250659943,1848643,0.0,38.80942809839043,5
r02jqail,1776424299.2894952,-1.7228223503313804,3.3105232657344303,5.806249574076187,2226.510583334838,3.340852183558108,-1.958654899553704,0.075,-11.036952254546247,0.011884396136504985,0.0,,0.010256410576403141,51.638771057128906,6374.0107421875,6338.712890625,122376.9609375,1052.128173828125,0.8891929984092712,16.133333206176758,10.364102363586426,0.6957646012306213,24.061538696289062,1.0871795415878296,0.3609653115272522,82.56410217285156,,260.974365234375,10049.0,3499098112,1834.7462277412415,1884610,0.0,40.04734225924924,5
k2fliqry,1776426143.1796257,-1.8651906421083628,3.8547031183932,5.285418308337799,2077.0155382663643,3.063865940328415,-0.09999999999999964,0.075,-6.747400275507404,0.012517731962971164,0.0,,0.0,40.727298736572266,4735.6845703125,6392.52783203125,55487.15625,675.1063842773438,0.8441425561904907,19.37872314453125,9.06382942199707,0.7382773160934448,18.965957641601562,5.702127456665039,0.45059141516685486,280.01702880859375,,252.78297424316406,10165.0,3499098112,1828.8889214992523,1860320,0.0,43.01794578588838,5
fe14eexe,1776428052.5928624,-1.8783972401305005,3.1691551173557047,3.8436265554281412,2125.21565375298,3.2752880586044038,-1.4781331915346874,0.07770678551796376,-10.721979682068966,0.013204931106626057,0.0,,0.38323354721069336,60.56129455566406,7792.5380859375,8391.71875,162759.546875,1287.08984375,0.933600902557373,19.497005462646484,4.371257305145264,0.6541701555252075,29.347305297851562,7.628742694854736,0.6190807819366455,743.1856079101562,,273.8023986816406,10050.0,3499098112,1888.0699911117554,1802311,0.0,32.40690798496457,5
8htlj8a2,1776429890.6777284,-1.8499889778347065,3.863447840964011,3.548772572717475,2097.94018081147,3.406385186363827,-1.4295080777847504,0.075,-9.244376209156957,0.011513274461301539,0.0,,0.0,57.0015983581543,7144.52294921875,8090.93603515625,141564.53125,1146.5128173828125,0.9105961918830872,14.230769157409668,0.2884615361690521,0.5782535672187805,27.134614944458008,4.012820720672607,0.4400530159473419,439.9230651855469,,263.51922607421875,10021.0,3499098112,1818.9580810070038,1807418,0.0,30.208431797347767,5
