run_id,name,state,peak_jk,peak_step_B,final_jk,mean_top10pct,mean_last5pct,mean_last20pct,stability_score,collapse_ratio,n_samples,env/w_damage_taken,env/shape_safespot_attack_reward,env/w_jad_damage,env/w_jad_kill,env/w_correct_jad_prayer,env/shape_jad_heal_penalty,env/w_correct_danger_prayer,env/w_player_death,train/ent_coef
zkmy30mi,iconic-microwave-218,finished,0.25357142090797424,2.573205504,0.03125,0.13090802159115492,0.020382154110190738,0.03988892816820996,0.15730845324788367,0.8767605561980828,1668,-1.6943783961807939,3.6043532061638235,4.837473837175686,2311.811408574449,3.9670987868664422,-0.7450061738170737,0.08064108900947115,-7.977050866663115,0.008299754377583665
itiz1dt7,different-feather-219,finished,0.07518796622753143,2.210398208,0.0,0.023713449537978475,9.464786432863e-05,0.0002542756555193627,0.0033818663397280286,0.9999999866999996,1668,-1.5684120092546792,3.654748993466016,5.787078924200451,2374.5623653134944,4.75441549358675,-0.09999999999999964,0.075,-8.293964152049789,0.008000000000000004
5lt2u1im,wandering-sun-220,finished,0.33725491166114807,2.503999488,0.0,0.12905652282467808,0.0,0.008165187161141733,0.024210728604999104,0.9999999970348837,1669,-1.9400110937020698,4.234611314413631,2.3609309711685604,2123.753219061029,2.3789866078955697,-1.1539865165952943,0.075,-10.391387711827827,0.009788453704828021
sl5uwujl,bumbling-blaze-221,finished,0.02888086624443531,3.28204288,0.02777777798473835,0.012242019067080804,0.01056609847246254,0.007208046890017731,0.2495786164941622,0.03819442990963163,1668,-1.704143058554998,2.9342524796639258,3.472087241039798,1940.643236334009,3.3528759566525377,-1.5743475137246121,0.11785432001156626,-8.874285435736894,0.013837445790693993
05m45997,lemon-feather-222,finished,0.014234875328838825,2.350907392,0.0,0.00177289715530463,4.633920300886574e-05,0.0001432507224772517,0.01006336262908278,0.9999999297500044,1668,-1.7786429469891807,3.014057040163208,4.515626051099783,2134.40783873511,3.122173566508421,-1.0423270454383964,0.075,-8.415727709923727,0.008000000000000004
5am4w63t,rare-music-223,finished,0.06530611962080002,2.152726528,0.0,0.032705336374169336,0.0015627880249711045,0.00897112445666003,0.13737034708815216,0.9999999846874996,1671,-1.7640584990045265,3.406821533209709,3.378798283774537,2129.105247058075,4.057718260396292,-0.4869248212617423,0.075,-10.094207971826524,0.009671114589476068
14aavsrf,comfy-meadow-224,finished,0.024793388321995735,2.982150144,0.0,0.008568392272572965,0.0009769284073263406,0.001850402217824012,0.07463288676640942,0.9999999596666681,2000,-1.7795147309743324,3.31532627206131,3.5092367231142707,1720.4334905038331,3.1569313583241625,-0.9039356937115075,0.075,-9.319154443366621,0.010920645020427189
4ckrfb6x,drawn-violet-225,finished,0.008810572326183319,3.443523584,0.0,0.0005613884162705611,0.0003771688268684289,0.00027987105796479584,0.03176536277532283,0.9999998865000083,1708,-1.9383272917412222,3.0777475974699273,4.7789330253500655,2334.4466302725873,3.2320439000765524,-1.5534988346267742,0.075,-7.437575795194294,0.018216168022063935
t6j7c92n,daily-morning-226,finished,0.06225680932402611,3.273654272,0.01550387591123581,0.03628256669390701,0.025772983171831233,0.025706686356947006,0.4129136430721749,0.7509689810553535,1672,-1.8626927766860653,3.8633104506540645,3.3172630471269158,2139.038230777216,3.2103924882751658,-1.3253775598106285,0.075,-9.990006258653704,0.016179530554961703
tby7zg28,hardy-microwave-227,finished,0.04823151230812073,3.401580544,0.0,0.01296493708554386,0.018852509325370193,0.0064213239726283265,0.13313544469580577,0.9999999792666676,1669,-1.7359912996237543,3.7034356616591637,4.115605856207175,1871.361437354977,2.91509539065599,-0.5845692660574189,0.12226346103748226,-9.523117802155634,0.012823314712134746
